clean_body,agent,source,pr_type,closed_at,state,detected_lang,merged_at,id_pr,created_at,friction_score,sentiment_label,sentiment_model_used,is_negative,dominant_emotion,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_neutral,negative_emotion_score,friction_category,is_merged,timestamp,created_time,merged_time,time_to_merge_hours,is_human
"Have we formally decided for/against using special characters in comments? I've tried to avoid them for now and stuck to Latex notation, eventhough compilers have supported it for quite a long time now",Claude_Code,comment,feat,2025-06-10 17:17:30+00:00,closed,EN,2025-06-10T17:17:30Z,3132739442,,0.0973796397447586,neutral,EN,False,neutral,0.017354482784867287,0.010745969600975513,0.008228277787566185,0.004578182939440012,0.02328997664153576,0.0034191892482340336,0.9323839545249939,0.014904676703736186,N/A,1,,,2025-06-10 17:17:30+00:00,,False
Let's make tracer the default client when arg=None,Claude_Code,comment,fix,2025-07-11 17:03:17+00:00,closed,EN,2025-07-11T17:03:16Z,3220223180,,0.10788855701684952,neutral,EN,False,neutral,0.015839485451579094,0.010970130562782288,0.005532035604119301,0.003658955218270421,0.005261990707367659,0.009385076351463795,0.9493523240089417,0.009400910581462085,N/A,1,,,2025-07-11 17:03:16+00:00,,False
who wrote this file?,Claude_Code,comment,fix,2025-07-11 17:03:17+00:00,closed,EN,2025-07-11T17:03:16Z,3220223180,,0.5636925101280212,negative,EN,True,surprise,0.014216908253729343,0.005836752709001303,0.004541501402854919,0.0034640845842659473,0.0077564953826367855,0.6173408627510071,0.34684333205223083,0.008087914437055588,Code Style,1,,,2025-07-11 17:03:16+00:00,,False
Renamed schemaChanges to match the operations used elsewhere.,Claude_Code,comment,refactor,2025-07-14 03:57:14+00:00,closed,EN,2025-07-14T03:57:13Z,3222101465,,0.031192483380436897,neutral,EN,False,neutral,0.010592098347842693,0.0068007586523890495,0.002698434516787529,0.004267041105777025,0.007204368710517883,0.04850528761744499,0.9199320077896118,0.006823915056884289,N/A,1,,,2025-07-14 03:57:13+00:00,,False
"I also don't understand the need for this, there are n number of other ways to create a catalog/subscription. - call [CODE] with the file content - call the api in code via k8s libraries",Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.5562880635261536,negative,EN,True,neutral,0.008751030080020428,0.004637745674699545,0.0031821259763091803,0.0028253761120140553,0.009037435986101627,0.226008340716362,0.7455580234527588,0.006402084429282695,Code Style,0,,,,,False
"The links you sent above, don't seem to work",Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.6811882853507996,negative,EN,True,sadness,0.017096566036343575,0.03396666422486305,0.006208269856870174,0.002583109773695469,0.4780522882938385,0.13289526104927063,0.32919779419898987,0.13383094710297883,Security,1,,,2025-07-10 05:41:21+00:00,,False
[RFE created](https://issues.redhat.com/browse/RFE-7647). Thanks all.,Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.0060739340260624886,positive,EN,False,neutral,0.0065079242922365665,0.0023570868652313948,0.0007280439604073763,0.12304266542196274,0.0052244337275624275,0.05867544561624527,0.8034643530845642,0.0037043722113594413,N/A,0,,,,,False
This PR is **the best effort** to prevent accidentally introducing breaking changes.,Claude_Code,comment,feat,2025-07-11 05:13:35+00:00,closed,EN,2025-07-11T05:13:35Z,3214555104,,0.07085858285427094,neutral,EN,False,neutral,0.007760452572256327,0.006581548601388931,0.0010968880960717797,0.011536571197211742,0.004039232153445482,0.006489179562777281,0.9624961018562317,0.00486953035579063,N/A,1,,,2025-07-11 05:13:35+00:00,,False
Could we also check if the newly added param has a default value of None?,Claude_Code,comment,feat,2025-07-11 05:13:35+00:00,closed,EN,2025-07-11T05:13:35Z,3214555104,,0.033968210220336914,neutral,EN,False,neutral,0.003972491715103388,0.005427103955298662,0.0021959866862744093,0.002116807969287038,0.00518581410869956,0.039191197603940964,0.9419105052947998,0.004195349116344005,N/A,1,,,2025-07-11 05:13:35+00:00,,False
let me check 👀,Claude_Code,comment,test,2025-05-08 04:24:57+00:00,closed,EN,2025-05-08T04:24:57Z,3047699666,,0.02197847329080105,neutral,EN,False,neutral,0.017867812886834145,0.0038161338306963444,0.01262671034783125,0.00680394796654582,0.011181354522705078,0.006852656602859497,0.9408513307571411,0.011373002897016704,N/A,1,,,2025-05-08 04:24:57+00:00,,False
"nit: can we define a separate struct for representing the webhook call result? Logic-wise, this code works ok, but semantically it is weird to use [CODE] for the non-test webhook call logic.",Claude_Code,comment,feat,2025-07-18 05:37:50+00:00,closed,EN,2025-07-18T05:37:50Z,3235103212,,0.4254016876220703,neutral,EN,False,disgust,0.022012535482645035,0.906197726726532,0.016359267756342888,0.0015568783273920417,0.0047750710509717464,0.025844605639576912,0.02325393818318844,0.2373361502541229,N/A,1,,,2025-07-18 05:37:50+00:00,,False
Remove it before merge,Claude_Code,comment,feat,2025-05-06 02:28:43+00:00,closed,EN,2025-05-06T02:28:43Z,2914376188,,0.12353291362524033,neutral,EN,False,neutral,0.018844302743673325,0.015601687133312225,0.006337249651551247,0.0016034434083849192,0.00875367783010006,0.016170330345630646,0.9326892495155334,0.012384229339659214,N/A,1,,,2025-05-06 02:28:43+00:00,,False
That's right. I hope you will give it a try!,Claude_Code,comment,docs,2025-07-03 08:23:38+00:00,closed,EN,2025-07-03T08:23:38Z,3194483657,,0.0029490652959793806,positive,EN,False,joy,0.021940011531114578,0.006282700691372156,0.0026589767076075077,0.6011621356010437,0.009106002748012543,0.032605547457933426,0.32624465227127075,0.009996922919526696,N/A,1,,,2025-07-03 08:23:38+00:00,,False
I think OPM already helps you create catalogs. You might want to use that instead : https://github.com/operator-framework/operator-registry It seems more appropriate to use instead of adding this RFE.,Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.013343661092221737,neutral,EN,False,neutral,0.004050123505294323,0.002584576141089201,0.0013236681697890162,0.007571722846478224,0.004716004244983196,0.02323947660624981,0.9565144777297974,0.003168593015288934,N/A,0,,,,,False
Stopped function extraction because it was only initializing schemaText and agent.,Claude_Code,comment,refactor,2025-07-14 03:57:14+00:00,closed,EN,2025-07-14T03:57:13Z,3222101465,,0.6971736550331116,negative,EN,True,neutral,0.02062307856976986,0.047685910016298294,0.004212695639580488,0.0015676935436204076,0.013241108506917953,0.023333346471190453,0.8893362283706665,0.02144069818314165,Security,1,,,2025-07-14 03:57:13+00:00,,False
Maybe node20 is better,Claude_Code,comment,feat,2025-06-17 14:52:26+00:00,closed,EN,2025-06-17T14:52:26Z,3152317896,,0.06530086696147919,neutral,EN,False,neutral,0.006337793078273535,0.011495369486510754,0.0021128635853528976,0.004451357759535313,0.009305115789175034,0.021859636530280113,0.9444379210472107,0.007312785484828055,N/A,1,,,2025-06-17 14:52:26+00:00,,False
[CODE] exists because OLMv0 requires a catalog and a _bunch_ of orchestration. It is non-trivial to: 1. create a catalog 2. push the catalog 3. create a catalog source 4. create an operator group with the correct settings 5. create a subscription with the correct package and catalog references [CODE] does all of that in a single command but without requiring a catalog image to be pushed to a remote image registry. It absolutely needed to exist given the complexity of everything OLMv0 requires.,Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.06334330886602402,neutral,EN,False,neutral,0.01196215394884348,0.006926392670720816,0.0028668618761003017,0.0038919441867619753,0.0021755134221166372,0.02712753787636757,0.9450495839118958,0.0059827304794453084,N/A,0,,,,,False
"Annotating three generic types is poor design in most cases. If you use type argument inference properly, annotations can be omitted, and this results in more robust and readable code, so I'd like you to review this. https://www.typescriptlang.org/docs/handbook/2/generics.html#:~:text=The%20second%20way%20is%20also%20perhaps%20the%20most%20common.%20Here%20we%20use%20type%20argument%20inference%20%E2%80%94%20that%20is%2C%20we%20want%20the%20compiler%20to%20set%20the%20value%20of%20Type%20for%20us%20automatically%20based%20on%20the%20type%20of%20the%20argument%20we%20pass%20in%3A",Claude_Code,comment,feat,2025-06-19 06:29:42+00:00,closed,EN,2025-06-19T06:29:42Z,3139315341,,0.3294077515602112,neutral,EN,False,neutral,0.07061470299959183,0.0359242781996727,0.014461266808211803,0.009713650681078434,0.05666101351380348,0.021667204797267914,0.7909579277038574,0.04441531538031995,N/A,1,,,2025-06-19 06:29:42+00:00,,False
Is this job a blocker? e.g. we might remove a parameter if it's announced as deprecated for one stable version?,Claude_Code,comment,feat,2025-07-11 05:13:35+00:00,closed,EN,2025-07-11T05:13:35Z,3214555104,,0.43908262252807617,neutral,EN,False,neutral,0.030227171257138252,0.06556522846221924,0.009771267883479595,0.0013772615930065513,0.012884772382676601,0.01760862208902836,0.8625656366348267,0.029612109996378422,N/A,1,,,2025-07-11 05:13:35+00:00,,False
